2026-06-14 15:08:25,077 | INFO | The book were successfully displayed
2026-06-14 15:08:25,078 | ERROR | id not found
2026-06-14 15:09:21,159 | DEBUG | User wants to see all books
2026-06-14 15:09:21,209 | INFO | The books were successfully displayed
2026-06-14 15:09:26,851 | DEBUG | User wants to see a book by id
2026-06-14 15:09:26,898 | INFO | The book were successfully displayed
2026-06-14 15:09:31,910 | DEBUG | User wants to see a book by id
2026-06-14 15:09:31,961 | INFO | The book were successfully displayed
2026-06-14 15:09:31,961 | ERROR | id not found
2026-06-14 15:09:51,216 | DEBUG | User wants to see a book by id
2026-06-14 15:09:51,250 | INFO | The book were successfully displayed
2026-06-14 15:09:51,250 | ERROR | id not found
2026-06-14 15:10:06,030 | DEBUG | User wants to see all books
2026-06-14 15:10:06,074 | INFO | The books were successfully displayed
2026-06-14 15:25:41,986 | DEBUG | Using selector: SelectSelector
2026-06-14 15:26:51,114 | DEBUG | User wants to update a book
2026-06-14 15:27:12,140 | DEBUG | Using selector: SelectSelector
2026-06-14 15:27:13,940 | DEBUG | Using selector: SelectSelector
2026-06-14 15:27:15,566 | DEBUG | Using selector: SelectSelector
2026-06-14 15:27:32,122 | DEBUG | Using selector: SelectSelector
2026-06-14 15:27:35,634 | DEBUG | Using selector: SelectSelector
2026-06-14 15:27:40,748 | DEBUG | Using selector: SelectSelector
2026-06-14 15:27:41,374 | DEBUG | User wants to update a book
2026-06-14 15:27:41,418 | WARNING | User updating a book to mysql
2026-06-14 15:28:49,652 | DEBUG | Using selector: SelectSelector
2026-06-14 15:28:50,762 | DEBUG | User wants to update a book
2026-06-14 15:28:50,798 | WARNING | User updating a book to mysql
2026-06-14 15:28:56,236 | DEBUG | Using selector: SelectSelector
2026-06-14 15:30:18,223 | DEBUG | Using selector: SelectSelector
2026-06-14 15:30:23,698 | DEBUG | Using selector: SelectSelector
2026-06-14 15:30:29,168 | DEBUG | Using selector: SelectSelector
2026-06-14 15:30:37,441 | DEBUG | Using selector: SelectSelector
2026-06-14 15:30:48,950 | DEBUG | User wants to update a book
2026-06-14 15:30:49,096 | WARNING | User updating a book to mysql
2026-06-14 15:32:17,306 | DEBUG | Using selector: SelectSelector
2026-06-14 15:32:19,963 | DEBUG | Using selector: SelectSelector
2026-06-14 15:32:32,272 | DEBUG | Using selector: SelectSelector
2026-06-14 15:32:35,997 | DEBUG | Using selector: SelectSelector
2026-06-14 15:32:38,777 | DEBUG | User wants to update a book
2026-06-14 15:32:38,858 | WARNING | User updating a book to mysql
2026-06-14 15:32:54,077 | DEBUG | Using selector: SelectSelector
2026-06-14 15:33:16,556 | DEBUG | Using selector: SelectSelector
2026-06-14 15:33:21,281 | DEBUG | Using selector: SelectSelector
2026-06-14 15:33:22,927 | DEBUG | User wants to update a book
2026-06-14 15:33:22,962 | WARNING | User updating a book to mysql
2026-06-14 15:34:02,893 | DEBUG | User wants to update a book
2026-06-14 15:34:02,944 | WARNING | User updating a book to mysql
2026-06-14 15:34:13,207 | DEBUG | Using selector: SelectSelector
2026-06-14 15:34:15,496 | DEBUG | Using selector: SelectSelector
